,Nom,Note,Auteur,Genre,Nombre de saisons,Plateforme,Durée,Date de sortie,Mois,Année
0,Sherlock,8.1,Série de   Mark Gatiss et   Steven Moffat,"['policier', 'drame', 'thriller']",5.0,BBC One,90.0,"['25', 'juillet', '2010']",juillet,2010
1,The Walking Dead,6.7,Série de   Frank Darabont,"['épouvante-horreur', 'drame']",10.0,AMC,43.0,"['11', 'octobre', '2010']",octobre,2010
2,Boardwalk Empire,7.6,Série de   Terence Winter,['drame'],5.0,HBO,60.0,"['19', 'septembre', '2010']",septembre,2010
3,Luther,7.6,Série de   Neil Cross,"['policier', 'drame']",5.0,BBC One,60.0,"['4', 'mai', '2010']",mai,2010
4,Band of Brothers : L'enfer du Pacifique,7.5,Série de   Bruce McKenna,"['mini-série', 'drame', 'guerre']",1.0,HBO,50.0,"['14', 'mars', '2010']",mars,2010
5,Downton Abbey,7.6,Série de   Julian Fellowes,['drame'],6.0,ITV,60.0,"['26', 'septembre', '2010']",septembre,2010
6,Spartacus,6.7,Série de   Steven S. DeKnight,"['action', 'drame', 'historique']",3.0,Starz,60.0,"['22', 'janvier', '2010']",janvier,2010
7,Game of Thrones,8.2,Série de   David Benioff et   D.B. Weiss,"['aventure', 'drame', 'fantasy']",8.0,HBO,52.0,"['5', 'décembre', '2010']",décembre,2010
8,Treme,8.1,Série de   David Simon et   Eric Overmyer,['drame'],4.0,HBO,60.0,"['11', 'avril', '2010']",avril,2010
9,Justified,7.2,Série de   Graham Yost,"['policier', 'drame', 'action']",6.0,FX,45.0,"['16', 'mars', '2010']",mars,2010
10,Louie,7.7,Série de   Louis C.K.,"['comédie', 'drame']",5.0,FX,25.0,"['29', 'juin', '2010']",juin,2010
11,Rubicon,7.5,Série de   Jason Horwitch,"['thriller', 'policier', 'drame']",1.0,AMC,60.0,"['13', 'juin', '2010']",juin,2010
12,"Borgen, une femme au pouvoir",7.8,Série de   Adam Price,['drame'],3.0,DR1,59.0,"['26', 'septembre', '2010']",septembre,2010
13,La Ligue des justiciers : Nouvelle Génération,7.4,Dessin animé de   Greg Weisman et   Brandon Vietti,"['action', 'animation', 'jeunesse']",2.0,DC Universe,25.0,"['26', 'novembre', '2010']",novembre,2010
14,Les Piliers de la Terre,7.1,Série de   John Pielmeier,"['thriller', 'drame', 'mini-série']",1.0,Starz,60.0,"['23', 'juillet', '2010']",juillet,2010
15,The Tatami Galaxy,8.3,Anime de   Masaaki Yuasa,"['animation', 'comédie']",1.0,Fuji TV,25.0,"['23', 'avril', '2010']",avril,2010
16,Faux Raccord,7.4,Émission Web,"['comédie', 'documentaire', 'mini-série']",8.0,Allociné,10.0,"['15', 'janvier', '2010']",janvier,2010
17,This is England,7.9,Série de   Shane Meadows,"['mini-série', 'policier', 'drame']",3.0,Channel 4,60.0,"['7', 'septembre', '2010']",septembre,2010
18,La Folle Histoire du Palmashow,7.4,"Émission TV de   Grégoire Ludig,   David Marsais et   Jonathan Barré",['comédie'],Inconnu,Direct 8,6.0,"['26', 'septembre', '2010']",septembre,2010
19,Raising Hope,6.9,Série de   Gregory Thomas Garcia,['comédie'],4.0,FOX (US),25.0,"['21', 'septembre', '2010']",septembre,2010
20,How to Make It in America,6.9,Série de   Ian Edelman,"['comédie', 'dramatique']",2.0,HBO,30.0,"['14', 'février', '2010']",février,2010
21,Ugly Americans,7.7,Dessin animé de   David M. Stern et   Devin Clark,"['comédie', 'animation']",2.0,Comedy Central (US),25.0,"['17', 'mars', '2010']",mars,2010
22,Rizzoli et Isles,5.8,Série de   Tess Gerritsen et   Janet Tamaro,"['policier', 'drame']",7.0,TNT (US),45.0,"['12', 'juillet', '2010']",juillet,2010
